NM_REGIAO;NM_UF;CD_UF;SIGLA;CD_MUN;NM_MUN;AREA_TOT;AREA_INT;PERC_INT;LAT_SEDE;LNG_SEDE;SEDE_AL
NORTE;Rondônia;11;RO;1100015;Alta Floresta D'Oeste;7067,13;7067,13;100;-11,9342;-62,0041;true
NORTE;Rondônia;11;RO;1100023;Ariquemes;4426,57;4426,57;100;-9,912;-63,0338;true
NORTE;Rondônia;11;RO;1100031;Cabixi;1314,35;1314,35;100;-13,4945;-60,5429;true
NORTE;Rondônia;11;RO;1100049;501506818;3793;3793;100;-11,4356;-61,4512;true
NORTE;Rondônia;11;RO;1100056;Cerejeiras;2783,3;2783,3;100;-13,1886;-60,8203;true
NORTE;Rondônia;11;RO;1100064;Colorado do Oeste;1451,06;1451,06;100;-13,1212;-60,5437;true
NORTE;Rondônia;11;RO;1100072;Corumbiara;3060,32;3060,32;100;-12,9998;-60,9448;true
NORTE;Rondônia;11;RO;1100080;Costa Marques;4987,18;4987,18;100;-12,4384;-64,2292;true
NORTE;Rondônia;11;RO;1100098;Espigão D'Oeste;4518,04;4518,04;100;-11,5347;-61,0164;true
NORTE;Rondônia;11;RO;1100106;Guajará-Mirim;24856,88;24856,88;100;-10,7871;-65,3401;true
NORTE;Rondônia;11;RO;1100114;Jaru;2944,13;2944,13;100;-10,4323;-62,4721;true
NORTE;Rondônia;11;RO;1100122;Ji-Paraná;6896,65;6896,65;100;-10,8768;-61,9575;true
NORTE;Rondônia;11;RO;1100130;Machadinho D'Oeste;8509,27;8509,27;100;-9,4275;-62,0067;true
NORTE;Rondônia;11;RO;1100148;Nova Brasilândia D'Oeste;1703,01;1703,01;100;-11,7198;-62,3177;true
NORTE;Rondônia;11;RO;1100155;Ouro Preto do Oeste;1969,85;1969,85;100;-10,7215;-62,2572;true
NORTE;Rondônia;11;RO;1100189;Pimenta Bueno;6241,02;6241,02;100;-11,6707;-61,1888;true
NORTE;Rondônia;11;RO;1100205;Porto Velho;34090,95;34090,95;100;-8,7662;-63,9095;true
NORTE;Rondônia;11;RO;1100254;Presidente Médici;1758,47;1758,47;100;-11,1698;-61,9041;true
NORTE;Rondônia;11;RO;1100262;Rio Crespo;1717,64;1717,64;100;-9,705;-62,9008;true
NORTE;Rondônia;11;RO;1100288;Rolim de Moura;1457,81;1457,81;100;-11,72;-61,7732;true
NORTE;Rondônia;11;RO;1100296;Santa Luzia D'Oeste;1197,8;1197,8;100;-11,9079;-61,7846;true
NORTE;Rondônia;11;RO;1100304;Vilhena;11699,15;11699,15;100;-12,7351;-60,1348;true
NORTE;Rondônia;11;RO;1100320;São Miguel do Guaporé;7460,12;7460,12;100;-11,689;-62,7152;true
NORTE;Rondônia;11;RO;1100338;Nova Mamoré;10070,49;10070,49;100;-10,4172;-65,3329;true
NORTE;Rondônia;11;RO;1100346;Alvorada D'Oeste;3029,19;3029,19;100;-11,3547;-62,2845;true
NORTE;Rondônia;11;RO;1100379;Alto Alegre dos Parecis;3958,27;3958,27;100;-12,134;-61,8587;true
NORTE;Rondônia;11;RO;1100403;Alto Paraíso;2651,82;2651,82;100;-9,7201;-63,3185;true
NORTE;Rondônia;11;RO;1100452;Buritis;3265,81;3265,81;100;-10,2025;-63,8349;true
NORTE;Rondônia;11;RO;1100502;Novo Horizonte do Oeste;843,45;843,45;100;-11,7065;-62,0001;true
NORTE;Rondônia;11;RO;1100601;Cacaulândia;1961,78;1961,78;100;-10,3423;-62,9011;true
NORTE;Rondônia;11;RO;1100700;Campo Novo de Rondônia;3442,01;3442,01;100;-10,568;-63,6201;true
NORTE;Rondônia;11;RO;1100809;Candeias do Jamari;6843,87;6843,87;100;-8,7957;-63,7022;true
NORTE;Rondônia;11;RO;1100908;Castanheiras;892,84;892,84;100;-11,4282;-61,9495;true
NORTE;Rondônia;11;RO;1100924;Chupinguaia;5126,72;5126,72;100;-12,5514;-60,8997;true
NORTE;Rondônia;11;RO;1100940;Cujubim;3863,95;3863,95;100;-9,3682;-62,5826;true
NORTE;Rondônia;11;RO;1101005;Governador Jorge Teixeira;5067,38;5067,38;100;-10,6136;-62,7341;true
NORTE;Rondônia;11;RO;1101104;Itapuã do Oeste;4081,58;4081,58;100;-9,1872;-63,1883;true
NORTE;Rondônia;11;RO;1101203;Ministro Andreazza;798,08;798,08;100;-11,1969;-61,5177;true
NORTE;Rondônia;11;RO;1101302;Mirante da Serra;1191,88;1191,88;100;-11,0308;-62,6746;true
NORTE;Rondônia;11;RO;1101401;Monte Negro;1931,38;1931,38;100;-10,2625;-63,2977;true
NORTE;Rondônia;11;RO;1101435;Nova União;807,13;807,13;100;-10,9141;-62,5538;true
NORTE;Rondônia;11;RO;1101450;Parecis;2548,68;2548,68;100;-12,1796;-61,6043;true
NORTE;Rondônia;11;RO;1101468;Pimenteiras do Oeste;6014,73;6014,73;100;-13,4807;-61,042;true
NORTE;Rondônia;11;RO;1101476;Primavera de Rondônia;605,69;605,69;100;-11,8315;-61,3201;true
NORTE;Rondônia;11;RO;1101484;São Felipe D'Oeste;541,65;541,65;100;-11,9094;-61,5118;true
NORTE;Rondônia;11;RO;1101492;São Francisco do Guaporé;10959,77;10959,77;100;-12,0596;-63,5691;true
NORTE;Rondônia;11;RO;1101500;Seringueiras;3773,51;3773,51;100;-11,7714;-63,0369;true
NORTE;Rondônia;11;RO;1101559;Teixeirópolis;459,98;459,98;100;-10,9336;-62,2553;true
NORTE;Rondônia;11;RO;1101609;Theobroma;2197,41;2197,41;100;-10,2459;-62,3495;true
NORTE;Rondônia;11;RO;1101708;Urupá;831,86;831,86;100;-11,1215;-62,3756;true
NORTE;Rondônia;11;RO;1101757;Vale do Anari;3135,11;3135,11;100;-9,8558;-62,176;true
NORTE;Rondônia;11;RO;1101807;Vale do Paraíso;965,68;965,68;100;-10,4266;-62,1331;true
NORTE;Acre;12;AC;1200013;Acrelândia;1811,61;1811,61;100;-10,0774;-67,0503;true
NORTE;Acre;12;AC;1200054;Assis Brasil;4979,07;4979,07;100;-10,9401;-69,5672;true
NORTE;Acre;12;AC;1200104;Brasiléia;3928,17;3928,17;100;-11,0154;-68,75;true
NORTE;Acre;12;AC;1200138;Bujari;3034,87;3034,87;100;-9,8311;-67,9524;true
NORTE;Acre;12;AC;1200179;Capixaba;1705,82;1705,82;100;-10,5723;-67,6754;true
NORTE;Acre;12;AC;1200203;Cruzeiro do Sul;8783,47;8783,47;100;-7,6344;-72,6665;true
NORTE;Acre;12;AC;1200252;Epitaciolândia;1652,67;1652,67;100;-11,0285;-68,738;true
NORTE;Acre;12;AC;1200302;Feijó;27976,87;27976,87;100;-8,1657;-70,3545;true
NORTE;Acre;12;AC;1200328;Jordão;5357,23;5357,23;100;-9,1934;-71,9509;true
NORTE;Acre;12;AC;1200336;Mâncio Lima;5451,62;5451,62;100;-7,6079;-72,9063;true
NORTE;Acre;12;AC;1200344;Manoel Urbano;10630,6;10630,6;100;-8,8363;-69,2599;true
NORTE;Acre;12;AC;1200351;Marechal Thaumaturgo;8190,95;8190,95;100;-8,9493;-72,7859;true
NORTE;Acre;12;AC;1200385;Plácido de Castro;1952,56;1952,56;100;-10,3367;-67,1846;true
NORTE;Acre;12;AC;1200393;Porto Walter;6446,39;6446,39;100;-8,2665;-72,7424;true
NORTE;Acre;12;AC;1200401;Rio Branco;8835,15;8835,15;100;-9,9724;-67,8101;true
NORTE;Acre;12;AC;1200427;Rodrigues Alves;3076,34;3076,34;100;-7,7382;-72,6535;true
NORTE;Acre;12;AC;1200435;Santa Rosa do Purus;6155,86;6155,86;100;-9,4397;-70,489;true
NORTE;Acre;12;AC;1200450;Senador Guiomard;2320,17;2320,17;100;-10,1522;-67,7391;true
NORTE;Acre;12;AC;1200500;Sena Madureira;23759,51;23759,51;100;-9,0639;-68,6561;true
NORTE;Acre;12;AC;1200609;Tarauacá;20169,48;20169,49;100;-8,1599;-70,7646;true
NORTE;Acre;12;AC;1200708;Xapuri;5350,59;5350,59;100;-10,6527;-68,5049;true
NORTE;Acre;12;AC;1200807;Porto Acre;2604,42;2604,42;100;-9,5904;-67,5328;true
NORTE;Amazonas;13;AM;1300029;Alvarães;5923,46;5923,46;100;-3,2102;-64,8049;true
NORTE;Amazonas;13;AM;1300060;Amaturá;4754,11;4754,11;100;-3,3618;-68,2;true
NORTE;Amazonas;13;AM;1300086;Anamã;2446,12;2446,12;100;-3,5774;-61,4058;true
NORTE;Amazonas;13;AM;1300102;Anori;6036,38;6036,38;100;-3,7486;-61,66;true
NORTE;Amazonas;13;AM;1300144;Apuí;54240,55;54240,55;100;-7,2003;-59,8922;true
NORTE;Amazonas;13;AM;1300201;Atalaia do Norte;76435,09;76435,09;100;-4,3655;-70,1884;true
NORTE;Amazonas;13;AM;1300300;Autazes;7652,85;7652,85;100;-3,5811;-59,1306;true
NORTE;Amazonas;13;AM;1300409;Barcelos;122461,09;122461,09;100;-0,9692;-62,9264;true
NORTE;Amazonas;13;AM;1300508;Barreirinha;5751,77;5751,77;100;-2,794;-57,0717;true
NORTE;Amazonas;13;AM;1300607;Benjamin Constant;8695,39;8695,39;100;-4,3741;-70,0276;true
NORTE;Amazonas;13;AM;1300631;Beruri;17472,78;17472,78;100;-3,8967;-61,3745;true
NORTE;Amazonas;13;AM;1300680;Boa Vista do Ramos;2589,41;2589,41;100;-2,97;-57,5885;true
NORTE;Amazonas;13;AM;1300706;Boca do Acre;21938,58;21938,58;100;-8,752;-67,3996;true
NORTE;Amazonas;13;AM;1300805;Borba;44236,18;44236,18;100;-4,3876;-59,5913;true
NORTE;Amazonas;13;AM;1300839;Caapiranga;9455,54;9455,54;100;-3,3306;-61,2118;true
NORTE;Amazonas;13;AM;1300904;Canutama;33642,73;33642,73;100;-6,5351;-64,3882;true
NORTE;Amazonas;13;AM;1301001;Carauari;25778,66;25778,66;100;-4,8783;-66,8973;true
NORTE;Amazonas;13;AM;1301100;Careiro;6096,21;6096,21;100;-3,8239;-60,3627;true
NORTE;Amazonas;13;AM;1301159;Careiro da Várzea;2627,47;2627,47;100;-3,1984;-59,8253;true
NORTE;Amazonas;13;AM;1301209;Coari;57970,77;57970,77;100;-4,0856;-63,142;true
NORTE;Amazonas;13;AM;1301308;Codajás;18700,71;18700,71;100;-3,8406;-62,0603;true
NORTE;Amazonas;13;AM;1301407;Eirunepé;14966,24;14966,24;100;-6,6678;-69,865;true
NORTE;Amazonas;13;AM;1301506;Envira;7505,79;7505,79;100;-7,4378;-70,0285;true
NORTE;Amazonas;13;AM;1301605;Fonte Boa;12155,43;12155,43;100;-2,5122;-66,0982;true
NORTE;Amazonas;13;AM;1301654;Guajará;7583,53;7583,53;100;-7,5436;-72,5778;true
NORTE;Amazonas;13;AM;1301704;Humaitá;33111,15;33111,14;100;-7,5065;-63,0216;true
NORTE;Amazonas;13;AM;1301803;Ipixuna;12109,78;12109,78;100;-7,0521;-71,693;true
NORTE;Amazonas;13;AM;1301852;Iranduba;2216,82;2216,82;100;-3,2839;-60,1875;true
NORTE;Amazonas;13;AM;1301902;Itacoatiara;8891,91;8891,91;100;-3,146;-58,4474;true
NORTE;Amazonas;13;AM;1301951;Itamarati;25260,43;25260,43;100;-6,4404;-68,2447;true
NORTE;Amazonas;13;AM;1302009;Itapiranga;4335,08;4335,08;100;-2,7495;-58,022;true
NORTE;Amazonas;13;AM;1302108;Japurá;55827,2;55827,2;100;-1,8792;-66,998;true
NORTE;Amazonas;13;AM;1302207;Juruá;19442,55;19442,55;100;-3,4736;-66,0653;true
NORTE;Amazonas;13;AM;1302306;Jutaí;69457,41;69457,42;100;-2,7432;-66,7698;true
NORTE;Amazonas;13;AM;1302405;Lábrea;68262,68;68262,68;100;-7,2625;-64,7972;true
NORTE;Amazonas;13;AM;1302504;Manacapuru;7336,58;7336,58;100;-3,3005;-60,6213;true
NORTE;Amazonas;13;AM;1302553;Manaquiri;3973,26;3973,26;100;-3,4299;-60,4594;true
NORTE;Amazonas;13;AM;1302603;Manaus;11401,09;11401,09;100;-3,1362;-60,0255;true
NORTE;Amazonas;13;AM;1302702;Manicoré;48315,02;48315,02;100;-5,8131;-61,3002;true
NORTE;Amazonas;13;AM;1302801;Maraã;16830,83;16830,83;100;-1,8604;-65,5913;true
NORTE;Amazonas;13;AM;1302900;Maués;39991,07;39991,07;100;-3,3968;-57,721;true
NORTE;Amazonas;13;AM;1303007;Nhamundá;14107,04;14107,04;100;-2,186;-56,7794;true
NORTE;Amazonas;13;AM;1303106;Nova Olinda do Norte;5578,13;5578,13;100;-3,8845;-59,0889;true
NORTE;Amazonas;13;AM;1303205;Novo Airão;37776,77;37776,77;100;-2,6232;-60,9409;true
NORTE;Amazonas;13;AM;1303304;Novo Aripuanã;41179,66;41179,66;100;-5,1219;-60,3795;true
NORTE;Amazonas;13;AM;1303403;Parintins;5956,05;5956,05;100;-2,622;-56,7297;true
NORTE;Amazonas;13;AM;1303502;Pauini;41624,66;41624,66;100;-7,7161;-67,0022;true
NORTE;Amazonas;13;AM;1303536;Presidente Figueiredo;25459,1;25459,1;100;-2,0491;-60,0256;true
NORTE;Amazonas;13;AM;1303569;Rio Preto da Eva;5815,62;5815,62;100;-2,6987;-59,7016;true
NORTE;Amazonas;13;AM;1303601;Santa Isabel do Rio Negro;62800,08;62800,08;100;-0,4152;-65,0191;true
NORTE;Amazonas;13;AM;1303700;Santo Antônio do Içá;12366,14;12366,14;100;-3,1034;-67,9466;true
NORTE;Amazonas;13;AM;1303809;São Gabriel da Cachoeira;109181,24;109181,25;100;-0,1354;-67,0869;true
NORTE;Amazonas;13;AM;1303908;São Paulo de Olivença;19658,5;19658,5;100;-3,4635;-68,95;true
NORTE;Amazonas;13;AM;1303957;São Sebastião do Uatumã;10647,46;10647,46;100;-2,5717;-57,871;true
NORTE;Amazonas;13;AM;1304005;Silves;3723,38;3723,38;100;-2,8379;-58,2082;true
NORTE;Amazonas;13;AM;1304062;Tabatinga;3266,06;3266,06;100;-4,2289;-69,9429;true
NORTE;Amazonas;13;AM;1304104;Tapauá;84946,03;84946,04;100;-5,6204;-63,1885;true
NORTE;Amazonas;13;AM;1304203;Tefé;23692,22;23692,22;100;-3,3459;-64,707;true
NORTE;Amazonas;13;AM;1304237;Tonantins;6446,89;6446,89;100;-2,8608;-67,7734;true
NORTE;Amazonas;13;AM;1304260;Uarini;10274,68;10274,68;100;-2,9859;-65,1572;true
NORTE;Amazonas;13;AM;1304302;Urucará;27901,96;27901,96;100;-2,5375;-57,7586;true
NORTE;Amazonas;13;AM;1304401;Urucurituba;2886,49;2886,49;100;-3,128;-58,1571;true
NORTE;Roraima;14;RR;1400027;Amajari;28473,45;28473,45;100;3,655;-61,4165;true
NORTE;Roraima;14;RR;1400050;Alto Alegre;25454,3;25454,3;100;2,992;-61,3108;true
NORTE;Roraima;14;RR;1400100;Boa Vista;5687,04;5687,04;100;2,8207;-60,6725;true
NORTE;Roraima;14;RR;1400159;Bonfim;8079,91;8079,91;100;3,358;-59,8319;true
NORTE;Roraima;14;RR;1400175;Cantá;7664,83;7664,83;100;2,6102;-60,601;true
NORTE;Roraima;14;RR;1400209;Caracaraí;47379,9;47379,9;100;1,8269;-61,1255;true
NORTE;Roraima;14;RR;1400233;Caroebe;12065,9;12065,9;100;0,8763;-59,6981;true
NORTE;Roraima;14;RR;1400282;Iracema;14011,7;14011,7;100;2,1645;-61,0551;true
NORTE;Roraima;14;RR;1400308;Mucajaí;12337,85;12337,85;100;2,4436;-60,9175;true
NORTE;Roraima;14;RR;1400407;Normandia;6959,87;6959,87;100;3,8805;-59,6319;true
NORTE;Roraima;14;RR;1400456;Pacaraima;8025,05;8025,05;100;4,4832;-61,1392;true
NORTE;Roraima;14;RR;1400472;Rorainópolis;33579,74;33579,74;100;0,9476;-60,4248;true
NORTE;Roraima;14;RR;1400506;São João da Baliza;4284,51;4284,51;100;0,9484;-59,9141;true
NORTE;Roraima;14;RR;1400605;São Luiz;1526,9;1526,9;100;1,0166;-60,0446;true
NORTE;Roraima;14;RR;1400704;Uiramutã;8113,6;8113,6;100;4,5952;-60,1626;true
NORTE;Pará;15;PA;1500107;Abaetetuba;1610,65;1610,65;100;-1,725;-48,8893;true
NORTE;Pará;15;PA;1500131;Abel Figueiredo;614,13;614,13;100;-4,9497;-48,3969;true
NORTE;Pará;15;PA;1500206;Acará;4344,38;4344,38;100;-1,9612;-48,199;true
NORTE;Pará;15;PA;1500305;Afuá;8338,44;8338,44;100;-0,1608;-50,3936;true
NORTE;Pará;15;PA;1500347;Água Azul do Norte;7113,96;7113,96;100;-6,8031;-50,4874;true
NORTE;Pará;15;PA;1500404;Alenquer;23645,45;23645,45;100;-1,9529;-54,7368;true
NORTE;Pará;15;PA;1500503;Almeirim;72954,8;72954,8;100;-1,5321;-52,5767;true
NORTE;Pará;15;PA;1500602;Altamira;159533,31;159533,31;100;-3,2053;-52,206;true
NORTE;Pará;15;PA;1500701;Anajás;6913,64;6913,64;100;-0,9858;-49,9381;true
NORTE;Pará;15;PA;1500800;Ananindeua;190,58;190,58;100;-1,3665;-48,3727;true
NORTE;Pará;15;PA;1500859;Anapu;11895,27;11895,27;100;-3,4698;-51,2015;true
NORTE;Pará;15;PA;1500909;Augusto Corrêa;1099,62;1099,62;100;-1,0221;-46,635;true
NORTE;Pará;15;PA;1500958;Aurora do Pará;1811,84;1811,84;100;-2,1333;-47,5602;true
NORTE;Pará;15;PA;1501006;Aveiro;17074,05;17074,05;100;-3,6065;-55,3322;true
NORTE;Pará;15;PA;1501105;Bagre;4397,32;4397,32;100;-1,9013;-50,2103;true
NORTE;Pará;15;PA;1501204;Baião;3759,83;3759,83;100;-2,792;-49,6728;true
NORTE;Pará;15;PA;1501253;Bannach;2956,65;2956,65;100;-7,3494;-50,4071;true
NORTE;Pará;15;PA;1501303;Barcarena;1310,34;1310,34;100;-1,505;-48,6263;true
NORTE;Pará;15;PA;1501402;Belém;1059,47;1059,47;100;-1,4554;-48,5052;true
NORTE;Pará;15;PA;1501451;Belterra;4398,42;4398,42;100;-2,649;-54,9427;true
NORTE;Pará;15;PA;1501501;Benevides;187,83;187,83;100;-1,3614;-48,2433;true
NORTE;Pará;15;PA;1501576;Bom Jesus do Tocantins;2816,6;2816,6;100;-5,0486;-48,6007;true
NORTE;Pará;15;PA;1501600;Bonito;586,98;586,98;100;-1,3512;-47,3063;true
NORTE;Pará;15;PA;1501709;Bragança;2124,73;2124,73;100;-1,0554;-46,7656;true
NORTE;Pará;15;PA;1501725;Brasil Novo;6362,58;6362,58;100;-3,3022;-52,5387;true
NORTE;Pará;15;PA;1501758;Brejo Grande do Araguaia;1288,48;1288,48;100;-5,7019;-48,4034;true
NORTE;Pará;15;PA;1501782;Breu Branco;3941,9;3941,9;100;-3,7789;-49,5674;true
NORTE;Pará;15;PA;1501808;Breves;9566,57;9566,57;100;-1,6914;-50,4832;true
NORTE;Pará;15;PA;1501907;Bujaru;994,69;994,69;100;-1,515;-48,0463;true
NORTE;Pará;15;PA;1501956;Cachoeira do Piriá;2419,6;2419,6;100;-1,76;-46,5458;true
NORTE;Pará;15;PA;1502004;Cachoeira do Arari;3100,26;3100,26;100;-1,0094;-48,9613;true
NORTE;Pará;15;PA;1502103;Cametá;3081,37;3081,37;100;-2,2444;-49,4954;true
NORTE;Pará;15;PA;1502152;Canaã dos Carajás;3146,82;3146,82;100;-6,5321;-49,8512;true
NORTE;Pará;15;PA;1502202;Capanema;621,48;621,48;100;-1,1928;-47,1784;true
NORTE;Pará;15;PA;1502301;Capitão Poço;2901,03;2901,03;100;-1,7445;-47,0638;true
NORTE;Pará;15;PA;1502400;Castanhal;1029,3;1029,3;100;-1,2941;-47,9264;true
NORTE;Pará;15;PA;1502509;Chaves;12535;12535;100;-0,1644;-49,9816;true
NORTE;Pará;15;PA;1502608;Colares;384,07;384,07;100;-0,929;-48,2883;true
NORTE;Pará;15;PA;1502707;Conceição do Araguaia;5829,48;5829,48;100;-8,2609;-49,2614;true
NORTE;Pará;15;PA;1502756;Concórdia do Pará;700,59;700,59;100;-1,9933;-47,9448;true
NORTE;Pará;15;PA;1502764;Cumaru do Norte;17085;17085;100;-7,8122;-50,765;true
NORTE;Pará;15;PA;1502772;Curionópolis;2369,1;2369,1;100;-6,0995;-49,6059;true
NORTE;Pará;15;PA;1502806;Curralinho;3617,25;3617,25;100;-1,8148;-49,7981;true
NORTE;Pará;15;PA;1502855;Curuá;1431,13;1431,13;100;-1,8891;-55,1194;true
NORTE;Pará;15;PA;1502905;Curuçá;676,32;676,32;100;-0,7294;-47,8484;true
NORTE;Pará;15;PA;1502939;Dom Eliseu;5268,81;5268,81;100;-4,2895;-47,5519;true
NORTE;Pará;15;PA;1502954;Eldorado do Carajás;2956,69;2956,69;100;-6,1033;-49,3762;true
NORTE;Pará;15;PA;1503002;Faro;11771,67;11771,67;100;-2,1746;-56,7467;true
NORTE;Pará;15;PA;1503044;Floresta do Araguaia;3444,29;3444,29;100;-7,5635;-49,705;true
NORTE;Pará;15;PA;1503077;Garrafão do Norte;1608,01;1608,01;100;-1,925;-47,0529;true
