ibge;maior_populacao;maior_pib;polo_tipo
1100205;x;x;1
1100106;x;x;1
1100023;x;x;1
1100122;x;x;1
1100049;x;x;1
1100320;x;x;1
1100056;x;x;1
1100304;x;x;1
1200203;x;x;1
1200609;x;x;1
1200500;x;x;1
1200401;x;x;1
1200252;;x;2
1200104;x;;1
1303809;x;x;1
1304062;x;x;1
1304203;x;x;1
1301209;x;x;1
1302603;x;x;1
1303536;x;x;1
1301902;x;x;1
1303403;x;x;1
1300706;x;x;1
1302405;x;x;1
1302702;x;;1
1301704;;x;2
1400100;x;x;1
1400209;x;x;1
1400472;x;x;1
1505304;x;x;1
1506807;x;x;1
1500503;;x;2
1505809;x;x;1
1501808;x;x;1
1504901;x;x;1
1501402;x;x;1
1502400;x;x;1
1508209;x;;1
1506203;;x;2
1501709;x;x;1
1500107;x;x;1
1507953;x;;1
1504703;;x;2
1507607;;x;2
1503606;x;x;1
1500602;x;;1
1508100;x;x;1
1505502;x;x;1
1507300;x;x;1
1505536;x;x;1
1504208;x;x;1
1506138;x;x;1
1600501;x;x;1
1600303;x;x;1
1600279;x;x;1
1702208;x;x;1
1702109;x;x;1
1709302;x;x;1
1716109;x;x;1
1709500;x;x;1
1721000;x;x;1
1709005;x;;1
1707009;x;x;1
2103703;x;x;1
2111300;x;x;1
2109601;x;x;1
2101707;x;x;1
2108603;x;x;1
2105401;x;x;1
2112407;x;x;1
2109908;x;x;1
2105302;x;x;1
2101202;x;;1
2101608;x;;1
2104800;;x;2
2109106;x;x;1
2100907;x;x;1
2103208;x;x;1
2103307;x;x;1
2103406;x;x;1
2112209;x;x;1
2103505;x;x;1
2104057;x;x;1
2101400;x;x;1
2208403;x;x;1
2207702;x;x;1
2211001;x;x;1
2202208;x;x;1
2200202;;x;2
2211308;x;x;1
2211209;x;x;1
2210631;;x;2
2202752;x;;1
2203909;x;x;1
2201903;x;x;1
2210607;x;x;1
2202901;x;x;1
2208007;x;x;1
2208205;x;x;1
2210003;x;;1
2306553;;x;2
2302602;x;;1
2313401;x;x;1
2304004;x;;1
2308203;x;x;1
2312908;x;x;1
2305803;x;x;1
2312205;x;x;1
2306405;x;x;1
2312403;x;x;1
2306306;x;x;1
2310704;x;x;1
2302800;x;x;1
2311603;;x;2
2302107;x;;1
2303956;;x;2
2303501;x;x;1
2304400;x;x;1
2305233;;x;2
2309607;x;;1
2304103;x;x;1
2311405;;x;2
2311306;x;;1
2313302;x;x;1
2300309;x;x;1
2301109;x;x;1
2311801;x;x;1
2306900;x;x;1
2310803;x;x;1
2305506;x;x;1
2314003;x;x;1
2307502;x;x;1
2302701;x;x;1
2303204;x;x;1
2308104;x;x;1
2307304;x;x;1
2302503;x;x;1
2408003;x;x;1
2401008;x;x;1
2414605;x;x;1
2400208;x;x;1
2412500;x;x;1
2409407;x;x;1
2409308;x;x;1
2404507;;x;2
2407203;x;;1
2400802;x;x;1
2406502;x;;1
2402006;x;x;1
2403103;x;x;1
2405801;x;x;1
2411205;x;x;1
2408300;x;x;1
2414407;x;x;1
2412005;x;;1
2407104;;x;2
2408102;x;x;1
2402204;x;x;1
2513901;x;x;1
2503704;x;x;1
2516201;x;x;1
2510808;x;x;1
2511301;x;x;1
2507002;x;x;1
2512309;x;x;1
2513406;x;x;1
2511400;x;x;1
2509701;x;x;1
2502508;x;x;1
2505105;x;;1
2516003;x;x;1
2506004;x;x;1
2500304;x;;1
2500403;;x;2
2506301;x;x;1
2504009;x;x;1
2506905;x;x;1
2508901;x;x;1
2515302;x;x;1
2507507;x;x;1
2601102;x;x;1
2601201;x;x;1
2602308;x;x;1
2602803;x;x;1
2602902;x;;1
2604007;x;;1
2604106;x;x;1
2606002;x;x;1
2606200;;x;2
2606804;x;x;1
2607208;;x;2
2608909;x;x;1
2611002;x;x;1
2611101;x;x;1
2611606;x;x;1
2612208;x;x;1
2612505;x;x;1
2613909;x;x;1
2616407;x;x;1
2700300;x;x;1
2700409;x;x;1
2702306;;x;2
2702405;x;x;1
2704302;x;x;1
2704500;x;x;1
2705705;x;x;1
2706307;x;x;1
2706703;x;x;1
2708006;x;x;1
2708600;x;;1
2709301;x;;1
2800308;x;x;1
2801207;;x;2
2801405;x;;1
2802106;x;x;1
2802908;x;x;1
2803500;x;x;1
2804508;x;;1
2805703;x;x;1
2807402;x;x;1
2900702;x;x;1
2902708;x;;1
2903201;x;;1
2903904;x;x;1
2904605;x;x;1
2906006;;x;2
2907509;x;;1
2909307;;x;2
2910503;x;;1
2910602;;x;2
2910701;x;x;1
2910800;x;x;1
2911709;x;x;1
2913606;;x;2
2914604;x;x;1
2914703;x;x;1
2914802;x;;1
2916401;x;x;1
2917508;x;x;1
2918001;x;x;1
2918100;x;x;1
2918407;x;x;1
2919504;x;x;1
2919553;;x;2
2919801;x;x;1
2921005;;x;2
2924009;x;x;1
2925303;;x;2
2926608;x;x;1
2927408;x;x;1
2928109;x;;1
2928406;x;x;1
2928703;x;x;1
2929909;x;x;1
2930105;x;;1
2930501;x;x;1
2931350;x;;1
2932903;x;x;1
2933307;x;x;1
2933604;;x;2
3101102;;x;2
3101607;x;x;1
3101706;x;x;1
3102803;;x;2
3103405;x;x;1
3104007;x;x;1
3105608;x;x;1
3106200;x;x;1
3107307;x;x;1
3111200;x;x;1
3112307;x;x;1
3113404;x;x;1
3115300;x;x;1
3117504;;x;2
3118304;x;;1
3120805;x;;1
3120904;x;x;1
3121605;x;x;1
3122306;x;x;1
3125101;;x;2
3126109;x;x;1
3127107;x;;1
3127701;x;x;1
3127800;x;x;1
3128006;x;x;1
3128709;;x;2
3131307;x;x;1
3131703;x;x;1
3132206;x;;1
3132404;x;x;1
3133709;;x;2
3134202;x;x;1
3134400;;x;2
3135100;x;x;1
3135209;x;x;1
3136702;x;x;1
3137205;x;x;1
3138203;x;x;1
3139409;x;x;1
3139607;x;x;1
3143302;x;x;1
3143906;x;x;1
3144003;x;;1
3144300;x;x;1
3145604;x;x;1
3145901;;x;2
3146107;x;x;1
3147006;x;x;1
3147105;x;x;1
3147907;x;x;1
3148004;x;x;1
3148103;x;x;1
3148707;x;x;1
3151206;x;x;1
3151503;x;x;1
3151800;x;x;1
3152105;x;x;1
3152501;x;;1
3157005;x;x;1
3159605;x;x;1
3162500;x;x;1
3163706;x;x;1
3164704;x;;1
3167103;x;;1
3167202;x;x;1
3168606;x;x;1
3169356;x;x;1
3169901;x;x;1
3170107;x;x;1
3170206;x;x;1
3170404;x;x;1
3170701;x;x;1
3171303;x;x;1
3200904;x;x;1
3201209;x;x;1
3201506;x;x;1
3201902;x;x;1
3202306;x;x;1
3202405;x;x;1
3203205;x;x;1
3203320;x;;1
3203908;x;x;1
3204104;x;x;1
3204302;;x;2
3204559;x;x;1
3204906;x;x;1
3205002;x;;1
3205309;;x;2
3300100;x;x;1
3300308;x;;1
3300704;x;x;1
3301009;x;x;1
3301108;;x;2
3301504;x;;1
3302007;x;x;1
3302205;x;x;1
3302403;x;x;1
3303401;x;x;1
3303609;x;;1
3303906;x;x;1
3304300;x;x;1
3304524;x;x;1
3304557;x;x;1
3304706;x;x;1
3305901;x;;1
3306008;x;x;1
3306107;;x;2
3306206;;x;2
3306305;x;x;1
3500105;x;x;1
3501905;x;x;1
3502101;x;x;1
3502804;x;x;1
3503208;x;x;1
3504008;x;x;1
3504107;;x;2
3504206;x;x;1
3504503;x;x;1
3504909;x;x;1
3505500;x;x;1
3505906;x;x;1
3506003;x;x;1
3506102;x;x;1
3506508;x;x;1
3507506;x;x;1
3507605;x;;1
3509007;;x;2
3509502;x;x;1
3509700;x;x;1
3510203;x;x;1
3510500;x;;1
3511102;x;x;1
3513603;x;;1
3514403;x;x;1
3515004;;x;2
3515509;x;x;1
3516200;x;x;1
3516309;x;;1
3517406;;x;2
3518404;x;x;1
3518800;x;x;1
3519709;x;x;1
3520400;;x;2
3521903;;x;2
3522109;x;x;1
3522307;x;x;1
3522406;x;x;1
3524105;x;x;1
3524808;x;x;1
3525300;x;x;1
3525904;x;x;1
3526902;x;x;1
3527108;x;x;1
3529005;x;x;1
3530607;x;x;1
3530706;x;x;1
3531407;x;x;1
3533502;x;;1
3534401;x;x;1
3534708;x;x;1
3535606;;x;2
3538709;x;x;1
3539301;x;x;1
3541406;x;x;1
3542602;x;x;1
3543402;x;x;1
3543907;x;x;1
3548500;x;x;1
3548906;x;x;1
3549102;x;x;1
3549409;x;;1
3549805;x;x;1
3549904;x;x;1
3550308;x;x;1
3552205;x;x;1
3552809;x;;1
3554003;x;x;1
3555000;x;x;1
3557105;x;x;1
4101002;x;;1
4101408;x;;1
4101507;;x;2
4101903;x;x;1
4104303;x;x;1
4104501;;x;2
4104808;x;x;1
4105508;x;x;1
4106407;x;x;1
4106902;x;x;1
4107603;x;x;1
4108304;x;x;1
4108403;x;x;1
4108601;x;;1
4109401;x;x;1
4109708;x;x;1
4110706;x;x;1
4111506;x;x;1
4111803;;x;2
4111902;;x;2
4112009;x;x;1
4113205;x;x;1
4113700;x;x;1
4114401;;x;2
4115200;x;x;1
4116901;x;;1
4117602;x;;1
4118204;x;x;1
4118402;x;x;1
4118501;x;x;1
4119608;x;x;1
4119905;x;x;1
4120606;x;x;1
4122305;x;x;1
4124103;x;;1
4125605;x;x;1
4126504;x;x;1
4126603;x;;1
4127106;x;x;1
4127700;x;x;1
4128005;;x;2
4128104;x;x;1
4128203;x;x;1
4200705;x;x;1
4201406;x;x;1
4202404;x;x;1
4203006;x;x;1
4203600;;x;2
4204202;x;x;1
4204301;x;x;1
4204608;x;x;1
4204806;x;;1
4205407;x;x;1
4208203;x;x;1
4208500;x;x;1
4209102;x;x;1
4209300;x;x;1
4210100;x;x;1
4214805;x;x;1
4215802;x;x;1
4217204;x;x;1
4218004;x;x;1
4218707;x;x;1
4219507;x;x;1
4300109;x;x;1
4301602;x;x;1
4302808;x;x;1
4303004;x;x;1
4303509;x;x;1
4304630;x;;1
4304705;x;x;1
4305108;x;x;1
4305207;x;;1
4305355;x;;1
4306106;x;x;1
4306403;;x;2
4307005;x;x;1
4308508;x;x;1
4309605;;x;2
4310207;x;x;1
4311007;x;x;1
4311403;x;x;1
4312401;x;x;1
4312658;x;x;1
4313300;x;x;1
4313508;;x;2
4314100;x;x;1
4314407;x;x;1
4314902;x;x;1
4315602;x;x;1
4316600;x;x;1
4316808;x;x;1
4316907;x;x;1
4317103;x;x;1
4317202;x;x;1
4317400;x;x;1
4317509;x;x;1
4320800;x;x;1
4321204;x;;1
4321907;x;;1
4322004;;x;2
4322400;x;x;1
4322509;x;x;1
5001102;x;x;1
5002209;;x;2
5002704;x;x;1
5002951;x;;1
5003207;x;x;1
5003256;;x;2
5003306;x;;1
5003702;x;x;1
5005004;x;;1
5005707;x;x;1
5006200;x;x;1
5006309;x;;1
5007695;;x;2
5007802;;x;2
5008305;x;x;1
5100201;x;;1
5100250;x;x;1
5100300;x;x;1
5101803;x;x;1
5102504;x;x;1
5102637;x;x;1
5103353;x;x;1
5103403;x;x;1
5104104;x;x;1
5105101;x;;1
5105150;x;x;1
5105622;x;x;1
5106307;x;x;1
5106752;x;x;1
5107008;x;x;1
5107040;x;x;1
5107065;;x;2
5107305;;x;2
5107602;x;x;1
5107701;x;x;1
5107909;x;x;1
5107925;x;x;1
5107958;x;x;1
5200258;x;;1
5201108;x;x;1
5201702;x;;1
5204904;x;;1
5205109;x;x;1
5208608;x;x;1
5208707;x;x;1
5208905;x;x;1
5210208;x;x;1
5211503;x;x;1
5212501;;x;2
5214002;;x;2
5214606;x;x;1
5215702;x;x;1
5217401;x;x;1
5218300;x;x;1
5218508;x;x;1
5218805;x;x;1
5220009;;x;2
5220108;x;x;1
5220207;x;;1
5300108;x;x;1
1302801;x;x;1
1301407;x;x;1
1400175;x;;1
1400159;;x;2
1505908;x;;1
1503457;x;;1
1508357;;x;2
1506708;x;x;1
1600709;x;x;1
1703842;;x;2
2110302;;x;2
2111607;x;x;1
2208809;x;;1
2210706;;x;2
2304509;;x;2
2309458;x;;1
2401651;;x;2
2512002;;x;2
2501302;x;x;1
2511202;x;;1
2500601;;x;2
2605202;x;x;1
2605459;x;x;1
2705002;x;x;1
2709202;x;x;1
2708105;;x;2
2806008;;x;2
2804607;x;x;1
2801306;x;x;1
2803302;x;x;1
2803609;x;x;1
2803005;x;x;1
3148608;x;x;1
3305307;;x;2
4107900;x;;1
4125308;;x;2
4112801;;x;2
4105201;x;x;1
4316303;;x;2
5100508;x;;1
5108857;;x;2
5217203;;x;2
